Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Velocity x (m/s),Velocity y (m/s),Velocity z (m/s),Position x (m),Position y (m),Position z (m)
181.0868489,-8.061541337338411,-5.7083002712546405,-10.550949467958871,14.655282961406769,-292.68445994269484,39.022493955147375,-120.02815470481647,-8941.07308120762,1572.3304445707204,-4121.151530307475
181.0918849,-8.070336646167043,-5.7145832919937725,-10.554914555280636,14.66777239241425,-292.7250578648696,38.9937469549814,-120.08128928633701,-8942.547142373456,1572.5268894653318,-4121.756125887443
181.0969209,-8.07895776635129,-5.720743519890366,-10.558637477275825,14.68001490359448,-292.76570008021963,38.964968313522974,-120.13444383603729,-8944.021408101959,1572.7231895103773,-4122.360989103444
181.1019568,-8.087411597622195,-5.72678605976447,-10.562107913905894,14.692011913072198,-292.8063849036354,38.93615922123102,-120.18761607850936,-8945.49584933335,1572.9193406544543,-4122.966108034208
181.1069928,-8.095705849439838,-5.732716291902826,-10.565308061191056,14.703761889630101,-292.8471131084409,38.90731912663411,-120.24080685396369,-8946.970524841343,1573.115350532934,-4123.571506803151
181.1120288,-8.103848988399953,-5.7385397217439476,-10.568214655584123,14.715260877564171,-292.8878830830986,38.87844916738814,-120.29401374535973,-8948.44540556175,1573.311215097498,-4124.177173481419
181.1170647,-8.111849938952291,-5.744262092104458,-10.57080159099285,14.726503262340987,-292.9286932562192,38.849550455203435,-120.34723421754374,-8949.920462410142,1573.5069303141474,-4124.783096111727
181.1221007,-8.119717548494503,-5.749889522656547,-10.573042163688767,14.737482469915344,-292.9695445325119,38.82062235130749,-120.40046877435617,-8951.3957541729,1573.702503809275,-4125.389298827863
181.1271366,-8.127459879540634,-5.755428564673653,-10.574910607064988,14.74819141749273,-293.01043461811435,38.79166648266037,-120.45371355738824,-8952.871222461401,1573.8979276719442,-4125.995757616265
181.1321726,-8.135083407056722,-5.760886138812454,-10.576383178109145,14.758622781728324,-293.0513645060676,38.76268214440873,-120.50696880720531,-8954.346926071594,1574.0932095217868,-4126.602496614458
181.1372086,-8.142592260201667,-5.766269421613431,-10.577439050389353,14.768769262812196,-293.0923327861057,38.73367032181356,-120.56023147289046,-8955.822835901381,1574.2883453372974,-4127.209503824765
181.1422446,-8.14998766669608,-5.771585822141189,-10.578061036865108,14.77862395303259,-293.133338880728,38.70463138900637,-120.61349945594812,-8957.298952142635,1574.4833349810049,-4127.816779279243
181.1472806,-8.157267697921998,-5.776843108191898,-10.578236095073049,14.788180789735206,-293.1743822186174,38.67556568280613,-120.66677057132966,-8958.77527498436,1574.6781783172314,-4128.424322999171
181.1523165,-8.164427403817076,-5.782049586719474,-10.577955572499974,14.797434988332762,-293.21546140301757,38.64647407859745,-120.7200415104811,-8960.251775291114,1574.8728713472494,-4129.032122922655
181.1573525,-8.171459422372886,-5.78721413869506,-10.577215172957406,14.8063833525684,-293.2565774594231,38.61735567687879,-120.7733120947441,-8961.728511884967,1575.0674216705734,-4129.640203187031
181.1623885,-8.178355109797362,-5.792345931396906,-10.576014725827587,14.815024504525677,-293.2977289290741,38.58821126647638,-120.826578950355,-8963.205455628451,1575.2618252881364,-4130.248551712682
181.1674245,-8.185106230703653,-5.7974538724976785,-10.574358011131114,14.823359371236142,-293.3389151254072,38.55904101236576,-120.87983976051446,-8964.682606698187,1575.4560820693753,-4130.857168474998
181.1724604,-8.191706992203114,-5.802546085102441,-10.572252956023624,14.831392249059373,-293.38013450187435,38.529845614409275,-120.93309117002266,-8966.159935929194,1575.650188031457,-4131.4660413444335
181.1774964,-8.198155774984068,-5.807629590345037,-10.569712240346721,14.839132185468884,-293.421387938287,38.50062399232476,-120.9863330359091,-8967.637502162695,1575.8441507539262,-4132.075194454583
181.1825324,-8.204455956795744,-5.81271021674378,-10.566753750671378,14.846593845139331,-293.46267385077,38.47137676970768,-121.03956210675167,-8969.115276230286,1576.0379662518458,-4132.684615658554
181.1875683,-8.210615663685573,-5.817792671945718,-10.563399847622772,14.853796929159802,-293.5039906705228,38.44210454232721,-121.09277522196463,-8970.593228943217,1576.2316305521151,-4133.294292777331
181.1926043,-8.216646669447641,-5.822880638834141,-10.559674886902634,14.860763876793062,-293.54533933100504,38.41280613843135,-121.14597250359715,-8972.071419156156,1576.4251512172088,-4133.904249944103
181.1976403,-8.222563023683719,-5.82797683911825,-10.555601923148627,14.867516919064176,-293.5867183636323,38.38348211153424,-121.19915102632748,-8973.549817677429,1576.618524271022,-4134.51447496515
